Republic of the Philippines
Commission on Higher Education
NSTP 1 Enrollment List
No.,Student No.,Surname,First Name,Middle Name,Program,Sex,Birthdate,Street / Barangay,Municipality / City,Province,Contact Number,Email Address,Is Transferee
1,2026-1001,Santos,Maria,Lopez,CWTS - BS Information Technology,Female,2005-01-12,Barangay Uno,Calamba,Laguna,09170001001,maria.santos@example.com,NO
2,2026-1002,Garcia,Juan,Cruz,ROTC - BS Business Administration,Male,2005-03-08,Purok 2,Calamba,Laguna,09170001002,juan.garcia@example.com,NO
3,2026-1003,Reyes,Angela,Ramos,LTS - BS Nursing,Female,2004-11-20,Barangay Tres,Sta. Rosa,Laguna,09170001003,angela.reyes@example.com,NO
4,2026-1004,Dela Cruz,Paolo,Martinez,CWTS - BS Secondary Education,Male,2005-06-01,Barangay San Jose,Cabuyao,Laguna,09170001004,paolo.delacruz@example.com,NO
5,2026-1005,Mendoza,Liza,Domingo,ROTC - BS Accountancy,Female,2004-12-17,Barangay Sampaguita,Binan,Laguna,09170001005,liza.mendoza@example.com,NO
6,2026-1006,Navarro,Kevin,Lim,CWTS - BS Computer Science,Male,2005-02-14,Barangay Malusak,Sta. Rosa,Laguna,09170001006,kevin.navarro@example.com,NO
7,2026-1007,Rivera,Denise,Alcantara,LTS - BS Psychology,Female,2005-04-10,Barangay Pittland,Cabuyao,Laguna,09170001007,denise.rivera@example.com,NO
8,2026-1008,Flores,Mark,Uy,ROTC - BS Civil Engineering,Male,2004-09-28,Barangay Banlic,Cabuyao,Laguna,09170001008,mark.flores@example.com,NO
9,2026-1009,Aquino,Sheila,Bernardo,CWTS - BS Criminology,Female,2005-07-03,Barangay Bucal,Calamba,Laguna,09170001009,sheila.aquino@example.com,NO
10,2026-1010,Torres,Noel,Castro,LTS - BS Information Systems,Male,2004-10-22,Barangay Sinalhan,Sta. Rosa,Laguna,09170001010,noel.torres@example.com,NO
11,2026-1011,Ramirez,Joy,Salvador,CWTS - BS Hospitality Management,Female,2005-08-19,Barangay Canlubang,Calamba,Laguna,09170001011,joy.ramirez@example.com,NO
12,2026-1012,Gutierrez,Allan,Perez,ROTC - BS Mechanical Engineering,Male,2004-08-13,Barangay Banay-Banay,Cabuyao,Laguna,09170001012,allan.gutierrez@example.com,NO
13,2026-1013,Diaz,Monica,Velasco,LTS - BS Biology,Female,2005-05-09,Barangay Dila,Santa Rosa,Laguna,09170001013,monica.diaz@example.com,NO
14,2026-1014,Castillo,Renzo,Rivera,CWTS - BS Entrepreneurship,Male,2005-09-01,Barangay Paciano,Rizal,Calamba,Laguna,09170001014,renzo.castillo@example.com,NO
15,2026-1015,Ortega,Camille,Luna,CWTS - BS Tourism Management,Female,2005-02-26,Barangay Pulo,Cabuyao,Laguna,09170001015,camille.ortega@example.com,NO
16,2026-1016,Lopez,Harold,Sy,ROTC - BS Electrical Engineering,Male,2004-07-07,Barangay Uno,Calauan,Laguna,09170001016,harold.lopez@example.com,NO
17,2026-1017,Valdez,Trisha,Natividad,LTS - BS Social Work,Female,2005-06-16,Barangay Bucal,Calamba,Laguna,09170001017,trisha.valdez@example.com,NO
18,2026-1018,Cabrera,Ian,Roldan,CWTS - BS Architecture,Male,2004-11-11,Barangay Mabato,Calamba,Laguna,09170001018,ian.cabrera@example.com,NO
19,2026-1019,Padilla,Faith,Soriano,LTS - BS Public Administration,Female,2005-01-30,Barangay Makiling,Calamba,Laguna,09170001019,faith.padilla@example.com,NO
20,2026-1020,Dominguez,Eric,Tan,ROTC - BS Industrial Engineering,Male,2004-12-03,Barangay Turbina,Calamba,Laguna,09170001020,eric.dominguez@example.com,NO
Male Total,,,,,,,,,,,,,8
Female Total,,,,,,,,,,,,,12
Grand Total,,,,,,,,,,,,,20
